,idx,data,sd,timestamp,fold
372,3411,27.559926829268292,0.049143729450478305,1622113001.1890872,6
373,3421,27.555614853195166,0.02564676725387241,1622113022.839038,6
374,3881,27.62978420038535,0.02554009392643349,1622113050.28905,6
375,4341,27.719220675944335,0.024068759396096193,1622113075.8390458,6
376,4342,27.717142857142854,0.014004372495030507,1622113089.1140358,6
377,4341,27.686727272727275,0.0028632755905507058,1622113090.364091,6
378,4791,27.66644351464435,0.02145823884724725,1622113096.8890753,6
379,4781,27.60397752808988,0.010181474174281812,1622113109.539262,6
380,5231,27.578934959349592,0.021481222595219132,1622113122.3640854,6
381,5221,27.52987258687259,0.02082439868439859,1622113134.9890501,6
382,5671,27.452242187500005,0.02402870877127687,1622113147.86409,6
383,5661,27.35980478087649,0.02760993486119869,1622113160.5390956,6
384,6111,27.272954545454546,0.04044522364510413,1622113173.4140491,6
385,6101,27.24696652719665,0.04807358951938702,1622113185.9890668,6
386,6551,27.119237226277374,0.03011532458381026,1622113198.814029,6
387,6541,27.13076595744681,0.06669435293519968,1622113211.5391107,6
388,6991,27.07443109540636,0.054355829551397644,1622113224.4890635,6
389,6981,27.145517699115047,0.13393404844459428,1622113237.2140486,6
390,7431,27.462939393939394,0.09306872499769546,1622113250.2891078,6
391,7421,27.315805555555556,0.14555490616903535,1622113263.1140368,6
392,7871,27.497580858085815,0.10189394228888819,1622113276.0891318,6
393,7861,27.49231775700935,0.045349648502144214,1622113286.3391306,6
394,8321,27.329657407407407,0.042941640422408,1622113291.7142224,6
395,8311,27.014053511705686,0.07240413206793335,1622113301.8892276,6
396,8301,26.99526315789474,0.009198638945449283,1622113309.8391578,6
397,8761,26.98413402061856,0.033798868054607425,1622113315.1643715,6
398,8751,26.959780068728524,0.051489962468881274,1622113327.289505,6
399,9201,26.98882142857143,0.05680750929450184,1622113340.164335,6
400,9191,27.279130584192444,0.11003659244220107,1622113353.0394948,6
401,9641,27.5150641025641,0.10808302519501273,1622113366.1644657,6
402,9631,27.296707581227437,0.26180395643147736,1622113378.9392345,6
403,10081,27.325719008264464,0.2329201339778077,1622113391.9140828,6
404,10071,26.955917293233085,0.13411531594721346,1622113404.6140451,6
405,10521,27.05779757085021,0.23458793124109817,1622113417.4390607,6
406,10511,27.387578544061302,0.21348336713990168,1622113430.139092,6
407,10961,27.264615384615382,0.1998524603730457,1622113443.1641154,6
408,10951,27.39212955465587,0.1620119935362793,1622113455.8391094,6
409,11401,26.81351330798479,0.09168087533801962,1622113468.5890987,6
410,11391,26.872375,0.13161870830166975,1622113481.1640542,6
411,11841,27.44329963898917,0.11389228126928333,1622113494.0890937,6
412,11831,26.83615217391304,0.573267995124797,1622113503.3141084,6
413,11830,24.57047916666666,0.5136977057563189,1622113506.8140624,6
414,9050,25.590999999999998,0.0,1622113920.9641252,6
415,8600,26.675487804878045,0.5541376566650263,1622113922.189073,6
416,8601,27.627558823529416,0.08759606195031965,1622113924.914147,6
417,8602,27.800423076923078,0.1461856493738028,1622113927.9140959,7
418,8603,28.5407,0.1596056912101405,1622113930.7141163,7
419,8604,28.872560439560438,0.04998048163895246,1622113934.489209,7
420,8614,28.817507042253517,0.07752186544303638,1622113942.0890563,7
421,8164,28.67200373134328,0.01947319208444443,1622113954.1141381,7
422,8174,28.58239,0.015869716443591107,1622113965.81414,7
423,7724,28.66266903914591,0.06699838582643075,1622113977.839114,7
424,7734,28.75358757062147,0.04612356853414705,1622113989.2891018,7
425,7274,28.791400000000003,0.005339163480047584,1622113994.4641335,7
426,7284,28.817777027027027,0.009339917924538487,1622114002.6141553,7
427,7294,28.846880597014927,0.01383001536574459,1622114011.6890595,7
428,6834,28.88738848920864,0.05709483601129201,1622114016.8390863,7
429,6844,28.821929292929298,0.03365358857654228,1622114027.7392051,7
430,6394,28.795666666666666,0.033351384001489716,1622114040.564139,7
431,6404,28.84863066202091,0.05264822613244124,1622114053.1392543,7
432,5954,28.816200000000002,0.06608277637428249,1622114065.9393468,7
433,5964,28.715852517985617,0.008551358434179163,1622114078.5143235,7
434,5514,28.710029787234046,0.01598254253591016,1622114091.3392806,7
435,5524,28.7480074906367,0.035226500123224695,1622114103.8893108,7
436,5074,28.549176954732506,0.018850657491072027,1622114116.639465,7
437,5084,28.528333333333332,0.004734796791161711,1622114129.0893528,7
438,4634,28.508625498007973,0.014989345062057615,1622114141.7391713,7
439,4644,28.46640650406504,0.014651417089748408,1622114154.1641421,7
440,4194,28.434862595419844,0.020261181385259265,1622114166.864164,7
441,4204,28.448489539748962,0.02637861786639481,1622114179.3892047,7
442,3754,28.45124908424908,0.013970280106985342,1622114192.1892197,7
443,3764,28.446408695652178,0.005246772344766053,1622114204.7641823,7
444,3314,28.436756183745587,0.00709754764755745,1622114217.5892189,7
445,3324,28.44716742081448,0.014855382105846315,1622114230.189267,7
446,2874,28.461257627118645,0.01179807803063249,1622114243.0893118,7
447,2884,28.442133004926102,0.018186148692643025,1622114255.5392413,7
448,2424,28.423999999999996,3.552713678800501e-15,1622114260.9141667,7
